ID,Locations
20779,Netherstorm
23286,Shadowmoon Valley
20668,Blade s Edge Mountains
17447,Azuremyst Isle
21217,Serpentshrine Cavern
23035,Sethekk Halls
18678,Hellfire Peninsula
20932,Netherstorm
19665,Ruins of Gilneas and Shattrath City
21102,Shadowmoon Valley
18205,Nagrand
21108,Shadowmoon Valley
17144,Nagrand
18680,Zangarmarsh
16179,Karazhan
16181,Karazhan
17280,Hellfire Ramparts
20931,Netherstorm
23051,Terokkar Forest
18259,Nagrand
21515,Terokkar Forest
23267,Shadowmoon Valley
17882,The Underbog
20197,Zangarmarsh
20502,Shadowmoon Valley
18670,Terokkar Forest
19784,Shadowmoon Valley
20749,Blade s Edge Mountains
23162,Terokkar Forest
18464,Terokkar Forest
18398,Nagrand
20671,Netherstorm
20673,Netherstorm
23584,Zul Aman
23026,Nagrand
21724,Terokkar Forest
18465,Terokkar Forest
18648,Terokkar Forest
20728,Blade s Edge Mountains
26111,Dustwallow Marsh
18280,Zangarmarsh
18128,Zangarmarsh
24917,Blade s Edge Mountains
17683,Bloodmyst Isle
16932,Hellfire Peninsula
18105,The Underbog
16934,Hellfire Peninsula
18467,Terokkar Forest
18257,Nagrand
17131,Nagrand
19350,Hellfire Peninsula
18290,Nagrand
21879,Shadowmoon Valley
23020,Shadowmoon Valley
22181,Blade s Edge Mountains
21723,Terokkar Forest and Shadowmoon Valley
21033,Blade s Edge Mountains
23616,Mulgore
18258,Nagrand
18241,Desolace
18707,Terokkar Forest
17133,Nagrand
22105,Terokkar Forest
18466,Terokkar Forest
23163,Terokkar Forest
21901,Shadowmoon Valley
17199,Azuremyst Isle
22424,Terokkar Forest
19461,Hellfire Peninsula
20729,Blade s Edge Mountains
18134,Zangarmarsh
20906,The Arcatraz
18285,Zangarmarsh
23219,Terokkar Forest
18463,Terokkar Forest
18286,Zangarmarsh
17556,Azuremyst Isle
21124,Blade s Edge Mountains
18129,Zangarmarsh
16933,Hellfire Peninsula
23326,Shadowmoon Valley
18283,Zangarmarsh
21022,Blade s Edge Mountains
16857,Hellfire Peninsula
19458,Hellfire Peninsula
18884,Netherstorm
20751,Blade s Edge Mountains
18461,Terokkar Forest
21123,Blade s Edge Mountains
16520,Ammen Vale and Azuremyst Isle
19423,Hellfire Peninsula
17661,Bloodmyst Isle
21408,Shadowmoon Valley
20283,Zangarmarsh
18880,Netherstorm
18334,Nagrand
17132,Nagrand
22052,Blade s Edge Mountains
20775,Netherstorm
20773,Netherstorm
21423,Blade s Edge Mountains
22884,Black Temple
22807,Terokkar Forest
23169,Shadowmoon Valley
17669,The Shattered Halls
22394,Nagrand
16178,Karazhan
18281,Zangarmarsh
18213,Zangarmarsh
16354,Ghostlands
24043,Zul Aman
15651,Eversong Woods
20682,Terokkar Forest
18647,Terokkar Forest
17522,Bloodmyst Isle
23501,Shadowmoon Valley
19189,Hellfire Peninsula
16176,Karazhan
15649,Eversong Woods
16180,Karazhan
20330,Blade s Edge Mountains
15652,Eversong Woods
21878,Shadowmoon Valley
18133,Zangarmarsh
16972,Hellfire Peninsula
17345,Bloodmyst Isle
21042,Blade s Edge Mountains
23873,Dustwallow Marsh
20038,The Eye
18214,Zangarmarsh
19459,Hellfire Peninsula
21854,Terokkar Forest
22123,Blade s Edge Mountains
22180,Blade s Edge Mountains
25867,Sunwell Plateau
25111,The Cape of Stranglethorn and Northern Barrens
21891,Sethekk Halls
18155,The Botanica
21306,Hellfire Peninsula
