ID,Name
20779,Congealed Void Horror
23286,Black Blood of Draenor
20668,Fiendling Flesh Beast
17447,The Kurken
21217,The Lurker Below
23035,Anzu
18678,Fulgorge
20932,Nuramoc
19665,Ewe
21102,Uvuros
18205,Clefthoof
21108,Spawn of Uvuros
17144,Goretooth
18680,Marticar
16179,Hyakiss the Lurker
16181,Rokad the Ravager
17280,Shattered Hand Warhound
20931,Tyrantus
23051,Monstrous Kaliri
18259,Banthar
21515,Trachela
23267,Arvoar the Rapacious
17882,The Black Stalker
20197,Bogflare Needler
20502,Eclipsion Dragonhawk
18670,Ironjaw
19784,Coilskar Cobra
20749,Scalewing Serpent
23162,Vakkiz the Windrager
18464,Warp Stalker
18398,Brokentoe
20671,Ripfang Lynx
20673,Swiftwing Shredder
23584,Amani Bear
23026,Twilight Serpent
21724,Hawkbane
18465,Warp Hunter
18648,Stonegazer
20728,Bladespire Raptor
26111,Grimtotem Spirit Wolf
18280,Sporewing
18128,Sporebat
24917,Phase Wyrm
17683,Zarakh
16932,Razorfang Hatchling
18105,Ghaz'an
16934,Quillfang Ravager
18467,Dreadfang Widow
18257,Gutripper
17131,Talbuk Thorngrazer
19350,Thornfang Venomspitter
18290,Tusker
21879,Vilewing Chimaera
23020,Shadow Serpent
22181,Aether Ray
21723,Blackwind Sabercat
21033,Bladewing Bloodletter
23616,Kyle the Frenzied
18258,Bach'lor
18241,Crusty
18707,Torgos
17133,Aged Clefthoof
22105,Decrepit Clefthoof
18466,Dreadfang Lurker
23163,Gezzarak the Huntress
21901,Netherskate
17199,Ravager Specimen
22424,Skywing
19461,Tamed Ravager
20729,Bladespire Ravager
18134,Fen Strider
20906,Phase-Hunter
18285,"""Count"" Ungula"
23219,Blackwind Warp Chaser
18463,Dampscale Devourer
18286,Mragesh
17556,Death Ravager
21124,Felsworn Daggermaw
18129,Greater Sporebat
16933,Razorfang Ravager
23326,Nethermine Ravager
18283,Blacksting
21022,Grovestalker Lynx
16857,Marauding Crust Burster
19458,Ripp
18884,Warp Chaser
20751,Daggermaw Lashtail
18461,Dampscale Basilisk
21123,Felsworn Scalewing
16520,Vale Moth
19423,Bleeding Hollow Worg
17661,Deathclaw
21408,Felfire Diemetradon
20283,Marshrock Stomper
18880,Nether Ray
18334,Wild Elekk
17132,Clefthoof Bull
22052,Daggermaw Blackhide
20775,Markaru
20773,Barbscale Crocolisk
21423,Gore-Scythe Ravager
22884,Leviathan
22807,Lost Torranche
23169,Nethermine Flayer
17669,Rabid Warhound
22394,Deathshadow Hound
16178,Phase Hound
18281,Boglash
18213,Mire Hydra
16354,Vampiric Mistbat
24043,Amani Lynx
15651,Springpaw Stalker
20682,Terokkarantula
