ID,Levels,Level Range,Classification,Type,Patch,Health
20779,30,False,Elite,Aberration,2.2.0,"15,349"
23286,30,False,Normal,Aberration,2.2.0,"1,571"
20668,"20, 30",True,Normal,Aberration,2.2.0,"2,035"
17447,"11, 30",True,Normal,Beast,2.2.0,357
21217,??,False,Elite,Beast,2.2.0,"255,311,600"
23035,32,False,Elite,Beast,2.2.0,"130,680"
18678,30,False,Rare,Beast,2.2.0,"3,143"
20932,30,False,Rare,Beast,2.2.0,"3,208"
19665,"18, 30",True,Normal,Beast,2.0.1,"1,221"
21102,"30, 39",True,Elite,Beast,2.0.1,"358,386"
18205,"30, 47",True,Normal,Beast,2.2.0,"2,075"
21108,30,False,Normal,Beast,2.2.0,"2,035"
17144,30,False,Rare,Beast,2.2.0,"4,070"
18680,30,False,Rare,Beast,2.2.0,"4,070"
16179,33,False,Rare Elite,Beast,2.2.0,"56,840"
16181,33,False,Rare Elite,Beast,2.2.0,"48,720"
17280,"9, 62",True,Normal,Beast,2.2.0,"10,923"
20931,30,False,Normal,Beast,2.2.0,"2,723"
23051,30,False,Normal,Beast,2.2.0,"2,095"
18259,30,False,Normal,Beast,2.2.0,"4,190"
21515,"20, 30",True,Normal,Beast,2.2.0,"4,070"
23267,30,False,Elite,Beast,2.2.0,"16,901"
17882,"12, 71",True,Elite,Beast,2.2.0,"127,505"
20197,"20, 30",True,Normal,Beast,2.2.0,"2,095"
20502,"30, 39",True,Normal,Beast,2.2.0,"2,358"
18670,30,False,Normal,Beast,2.2.0,"2,035"
19784,30,False,Normal,Beast,2.2.0,"2,095"
20749,30,False,Normal,Beast,2.0.1,"2,095"
23162,30,False,Elite,Beast,2.2.0,"31,705"
18464,"30, 65",True,Normal,Beast,2.2.0,"3,052"
18398,"30, 69",True,Elite,Beast,2.2.0,"20,350"
20671,30,False,Normal,Beast,2.2.0,"2,095"
20673,30,False,Normal,Beast,2.2.0,"2,095"
23584,35,False,Elite,Beast,2.3.0,"71,883"
23026,30,False,Normal,Beast,2.2.0,"2,095"
21724,30,False,Rare,Beast,2.2.0,"3,208"
18465,"30, 65",True,Normal,Beast,2.2.0,"2,510"
18648,30,False,Normal,Beast,2.2.0,"4,070"
20728,30,False,Normal,Beast,2.2.0,"2,095"
26111,57,False,Normal,Beast,2.4.0,109
18280,"28, 30",True,Normal,Beast,2.2.0,"4,070"
18128,30,False,Normal,Beast,2.2.0,"2,035"
17683,"19, 30",True,Normal,Beast,2.2.0,"4,070"
16932,"16, 30",True,Normal,Beast,2.2.0,"2,035"
18105,"12, 71",True,Elite,Beast,2.2.0,"99,630"
16934,"21, 30",True,Normal,Beast,2.2.0,"2,035"
18467,30,False,Normal,Beast,2.2.0,"2,095"
18257,30,False,Normal,Beast,2.2.0,"4,190"
17131,"30, 53",True,Normal,Beast,2.2.0,"6,046"
19350,"19, 67",True,Normal,Beast,2.2.0,"1,191"
18290,30,False,Normal,Beast,2.2.0,"4,070"
21879,"30, 48",True,Normal,Beast,2.2.0,"3,237"
23020,30,False,Normal,Beast,2.2.0,"2,095"
