ID,Locations
15299,Temple of Ahn Qiraj
15727,Temple of Ahn Qiraj
15335,Ruins of Ahn Qiraj
14345,Felwood
8212,The Hinterlands
1032,Wetlands
4394,Dustwallow Marsh
14433,Wetlands
1552,The Cape of Stranglethorn
14020,Blackwing Lair
6498,Un Goro Crater
14343,Felwood
5828,Northern Barrens
10741,Winterspring
11982,Molten Core
2098,"Loch Modan, Wetlands, and Arathi Highlands"
3652,Northern Barrens
6584,Un Goro Crater
3475,Northern Barrens
1130,Dun Morogh
4166,"Mulgore, Southern Barrens, Desolace, Northern Barrens, and Camp Narache"
10200,Winterspring
14430,Teldrassil
3068,Mulgore
11497,Feralas
15333,Ruins of Ahn Qiraj
6585,Un Goro Crater
521,Duskwood
7443,Winterspring
3581,Stormwind City
2175,Darkshore
7434,Winterspring
3058,Mulgore
731,Northern Stranglethorn
5831,Northern Barrens
8660,Azshara
6500,Un Goro Crater
15511,Temple of Ahn Qiraj
11673,Molten Core
12037,Ashenvale
10644,Ashenvale
7446,Winterspring and Mount Hyjal
2850,Badlands
5842,Northern Barrens
3056,Mulgore
6499,Un Goro Crater
14344,Felwood
1933,"Uldum, Gilneas, Howling Fjord, Elwynn Forest, Gilneas City, and Redridge Mountains"
7448,Winterspring
14228,Desolace
7273,Zul Farrak
4015,Stonetalon Mountains
14475,Silithus
10077,Burning Steppes
11671,Molten Core
1961,Dun Morogh
1132,New Tinkertown
471,Elwynn Forest
834,Westfall
14339,Felwood
5832,Southern Barrens
8277,Searing Gorge
5807,Mulgore
689,Northern Stranglethorn
574,Duskwood
10806,Winterspring
728,Northern Stranglethorn
3864,Shadowfang Keep
10356,Tirisfal Glades
5823,Durotar
883,"Darkshore, Ashenvale, Elwynn Forest, Gilneas, Darnassus, Feralas, Arathi Highlands, Western Plaguelands, Hillsbrad Foothills, Moonglade, Azuremyst Isle, Arathi Highlands, Shadowglen, Dire Maul, The Culling of Stratholme, and The Hinterlands"
14491,The Cape of Stranglethorn
5833,Searing Gorge
5928,Stonetalon Mountains
14222,Hillsbrad Foothills
8211,The Hinterlands
5829,Southern Barrens
15952,Naxxramas
10596,Blackrock Spire
6583,Un Goro Crater
5451,Tanaris
14227,Desolace
4132,Thousand Needles
15543,Temple of Ahn Qiraj
2753,Badlands
12431,Silverpine Forest
1559,The Cape of Stranglethorn
10376,Blackrock Spire
15509,Temple of Ahn Qiraj
833,Westfall
8300,Blasted Lands
8299,Blasted Lands
6508,Un Goro Crater
2476,Loch Modan
7444,Winterspring
6648,Azshara
462,Westfall
4380,Dustwallow Marsh
3398,Northern Barrens
5268,Feralas
6581,Un Goro Crater
