ID,Levels,Level Range,Classification,Type,Patch,Health
15299,??,False,Elite,Aberration,1.11.1,"101,998,600"
15727,??,False,Elite,Aberration,1.11.1,"10999,300"
15335,32,False,Elite,Aberration,1.11.1,"18,664"
14345,"30, 58",True,Rare,Aberration,1.11.1,"3,624"
8212,"20, 36",True,Rare,Aberration,1.11.1,"1,509"
1032,"10, 59",True,Normal,Aberration,1.11.1,"1,238"
4394,"20, 59",True,Normal,Aberration,1.12.1,"2,035"
14433,30,False,Rare,Aberration,1.11.1,"3,053"
1552,"10, 45",True,Rare,Beast,1.11.1,"4,070"
14020,??,False,Elite,Beast,1.11.1,"101,832,050"
6498,"30, 59",True,Elite,Beast,1.11.1,"20,350"
14343,"20, 59",True,Rare,Beast,1.11.1,"3,053"
5828,"20, 60",True,Rare,Beast,1.11.1,"1,196"
10741,"20, 30",True,Rare,Beast,1.11.1,"3,053"
11982,??,False,Elite,Beast,1.11.1,"32,498,400"
2098,"10, 59",True,Normal,Beast,1.11.1,"1,221"
3652,30,False,Rare,Beast,1.11.1,"2,544"
6584,"30, 59",True,Rare,Beast,1.11.1,"61,040"
3475,"15, 31",True,Normal,Beast,1.11.1,"1,113"
1130,"8, 30",True,Rare,Beast,1.11.1,288
4166,1,False,Normal,Beast,1.11.1,5
10200,30,False,Rare,Beast,1.11.1,"3,053"
14430,"7, 30",True,Rare,Beast,1.11.1,"3,053"
3068,"7, 30",True,Rare,Beast,1.11.1,"3,053"
11497,30,False,Rare,Beast,1.11.1,"4,070"
15333,25,False,Normal,Beast,1.11.1,"2,380"
6585,"20, 58",True,Rare,Beast,1.11.1,"3,151"
521,"10, 53",True,Rare,Beast,1.11.1,614
7443,"20, 59",True,Normal,Beast,1.11.1,"2,035"
3581,"6, 70",True,Rare,Beast,1.11.1,800
2175,"18, 30",True,Rare,Beast,1.11.1,934
7434,"30, 59",True,Normal,Beast,1.11.1,"3,997"
3058,"5, 30",True,Rare,Beast,1.11.1,683
731,"19, 44",True,Normal,Beast,1.11.1,"1,838"
5831,"19, 60",True,Rare,Beast,1.11.1,"3,053"
8660,"20, 30",True,Rare,Beast,1.11.1,550
6500,"20, 56",True,Elite,Beast,1.11.1,"14,251"
15511,??,False,Elite,Beast,1.11.1,"10266,480"
11673,32,False,Elite,Beast,1.11.1,"6,597,234"
12037,"20, 30",True,Rare,Beast,1.11.1,"3,053"
10644,"20, 58",True,Rare,Beast,1.11.1,"1,752"
7446,"30, 59",True,Normal,Beast,1.11.1,"3,413"
2850,"30, 48",True,Rare,Beast,1.11.1,"3,053"
5842,"11, 40",True,Rare,Beast,1.11.1,"1,831"
3056,"8, 30",True,Normal,Beast,1.11.1,344
6499,"20, 59",True,Elite,Beast,1.11.1,"14,720"
14344,"20, 43",True,Rare,Beast,1.11.1,"4,070"
1933,3,False,Normal,Beast,1.11.1,8
7448,"20, 59",True,Normal,Beast,1.11.1,"2,035"
