ID,Locations
40484,Grim Batol
44566,Throne of the Tides
55308,Dragon Soul
55312,Dragon Soul
40788,Throne of the Tides
50050,Abyssal Depths
40765,Throne of the Tides
41440,Blackwing Descent
48322,Hillsbrad Foothills
42172,Unknown
49811,Blackwing Descent
34485,Darkshore
43622,The Bastion of Twilight
50319,Winterspring
50051,Abyssal Depths
54320,Mount Hyjal
50138,Twilight Highlands
50058,Mount Hyjal
54319,Mount Hyjal
50005,Shimmering Expanse and Abyssal Depths
54318,Mount Hyjal
50159,Twilight Highlands
50815,Molten Front and Kings Rest
43296,Blackwing Descent
49822,Deepholm
50009,Abyssal Depths
40728,Shimmering Expanse and Vashj ir
41570,Blackwing Descent
52498,Firelands
41166,Blasted Lands
50959,Molten Front
46910,Mount Hyjal
51661,Northern Stranglethorn
52795,Mount Hyjal
47676,Tol Barad Peninsula
43438,The Stonecore
39348,Mount Hyjal
47687,Felwood
42181,Shimmering Expanse
51663,Northern Stranglethorn
50060,Deepholm
47115,Twilight Highlands
38346,Un Goro Crater
34982,Stonetalon Mountains
41084,Mount Hyjal
45450,Eastern Plaguelands
45380,Loch Modan
54533,Feralas and Silithus
47389,Thousand Needles
32997,Darkshore
54323,Molten Front
42215,Abyssal Depths
42336,Blasted Lands
52414,Zul Gurub
45582,Duskwood
47544,Tol Barad
51402,Uldum
52442,Zul Gurub
54338,Molten Front
47801,Uldum
47387,Tanaris
51671,Uldum
54321,Molten Front
47202,Uldum
47053,Swamp of Sorrows
54324,Molten Front
51662,Northern Stranglethorn
37088,Southern Barrens
48451,The Deadmines
43050,Northern Stranglethorn
47386,Tanaris
55715,Darkmoon Island
33497,Loch Modan
36094,Desolace
33053,Darkshore
50044,Winterspring
50065,Uldum
52146,Redridge Mountains
42108,Abyssal Depths
39964,Kelp thar Forest
40427,Mount Hyjal
48455,Felwood
44473,Western Plaguelands
36696,Camp Narache and Mulgore
50313,Winterspring
52418,Zul Gurub
43704,Duskwood and Redridge Mountains
47278,Searing Gorge
41646,Abyssal Depths
37207,Southern Barrens
45321,Uldum
38187,The Lost Isles
37208,Southern Barrens
39700,Blackrock Caverns
51962,Silverpine Forest and Tirisfal Glades
51961,Tirisfal Glades
52981,Molten Front
33311,Darkshore
37090,Southern Barrens
47204,Hillsbrad Foothills
47680,Tol Barad Peninsula
51674,Uldum
37206,Southern Barrens
42859,Durotar
44257,Deepholm
39186,Tanaris
40340,Mount Hyjal
52345,Zul Gurub
37559,Southern Barrens
42337,Blasted Lands
48184,Hillsbrad Foothills
44482,Western Plaguelands
39185,Tanaris
41561,Gilneas
35096,Azshara
40466,Kelp thar Forest
44188,Loch Modan
46508,Tol Barad Peninsula
34829,Northern Barrens
47726,Uldum
48239,Uldum
44476,Western Plaguelands
39224,Valley of Trials
37718,Gilneas
41614,Mount Hyjal
39149,Tanaris
42855,"Stonetalon Mountains, Feralas, The Cape of Stranglethorn, Broken Shore, Ironforge, and The Hinterlands"
42338,Blasted Lands
49871,Northshire and Elwynn Forest
36206,Desolace
38708,Un Goro Crater
45402,Loch Modan
48765,Winterspring
37989,Echo Isles
45353,Uldum
51676,Uldum
42504,Durotar
36304,Azshara
44089,Duskwood
43340,Redridge Mountains
40717,Tanaris
43339,Deepholm
48278,The Deadmines
46317,Uldum
37557,Southern Barrens
41645,Abyssal Depths
38845,The Lost Isles
52648,Molten Front
42657,Mount Hyjal
43007,The Hinterlands
40200,Shimmering Expanse
49251,Hillsbrad Foothills
47072,Deepholm
47769,Twilight Highlands
49346,Winterspring
38305,Un Goro Crater
46970,Twilight Highlands
56160,Darkmoon Island
43181,Deepholm
42170,Dun Morogh
45825,Swamp of Sorrows
41504,Mount Hyjal
51673,Uldum
44425,Deepholm
42235,Blasted Lands
43084,Redridge Mountains
56035,Darkmoon Island
40819,Mount Hyjal
39385,Durotar
43417,The Cape of Stranglethorn
48248,Swamp of Sorrows
41401,Wetlands
44551,Western Plaguelands
40015,Blackrock Caverns
44906,Silverpine Forest
34894,Stonetalon Mountains
44020,Duskwood
51760,Uldum
40527,Tanaris
48191,Thousand Needles
48155,Thousand Needles
40223,Kelp thar Forest
42523,Deepholm
36500,Azshara
46608,Tol Barad Peninsula
44474,Western Plaguelands
37956,Echo Isles and Durotar
42766,Deepholm
51714,Feralas
50320,Winterspring
44594,Tanaris
37492,Gilneas
33374,Northern Barrens
53096,Firelands
18739,Northern Barrens
39588,Mount Hyjal
52877,Zul Gurub
44184,Loch Modan
48442,The Deadmines
48802,Shimmering Expanse and Abyssal Depths
50419,Mount Hyjal
47682,Tol Barad Peninsula
48630,Tol Barad
48848,Shimmering Expanse
48706,Twilight Highlands and Stormheim
50481,"Desolace, Mount Hyjal, Blade s Edge Mountains, and Silithus"
48683,Twilight Highlands
49779,"Winterspring, Stonetalon Mountains, Mount Hyjal, and Highmountain"
50491,Uldum
47667,"Tol Barad Peninsula, The Cape of Stranglethorn, and Gorgrond"
50496,Uldum and Lost City of the Tol vir
44710,Tanaris
48686,Twilight Highlands and Tanaris
47120,Baradin Hold
47120,
55869,Baradin Hold
54969,Well of Eternity
48154,Felwood
46950,Swamp of Sorrows
52363,Baradin Hold
52363,
52363,
41280,Blasted Lands
45262,Blasted Lands
50318,Winterspring
41165,Blasted Lands
50321,Winterspring
41471,Blasted Lands
39625,Grim Batol
50062,Deepholm
58195,Stormwind City
45213,The Bastion of Twilight
41376,Blackwing Descent
50061,Deepholm
41378,Blackwing Descent
43214,The Stonecore
45992,Grim Batol and The Bastion of Twilight
41442,Blackwing Descent
43873,The Vortex Pinnacle
52382,Orgrimmar
52408,Stormwind City
55294,Dragon Soul
39384,Feralas
55476,Dragon Soul
42043,Wetlands
42042,Wetlands
54432,End Time
46916,Badlands
46654,Badlands
57777,Hillsbrad Foothills
45993,The Bastion of Twilight
58153,Dragon Soul
52835,Borean Tundra
39698,Blackrock Caverns
46141,Twilight Highlands
46471,Badlands
58207,Dragon Soul
42522,Deepholm
45788,Twilight Highlands
47605,Twilight Highlands
52995,Mount Hyjal
46914,Badlands
41270,Blackwing Descent
42044,Wetlands
50086,Twilight Highlands
47797,Twilight Highlands
48394,Twilight Highlands
39394,Feralas
58208,Dragon Soul
48415,The Bastion of Twilight
55488,Twilight Highlands
46861,Badlands
44767,Tanaris
47010,Hillsbrad Foothills
57910,Deadwind Pass
46655,Badlands
39867,Mount Hyjal
53349,Borean Tundra
57802,Ruins of Gilneas
41030,Mount Hyjal
56781,Dragon Soul
56173,Dragon Soul
52409,Firelands
46753,Throne of the Four Winds
52530,Firelands
52558,Firelands
50056,Mount Hyjal
53494,Firelands
50057,Mount Hyjal
55265,Dragon Soul
46259,Twilight Highlands
43878,The Vortex Pinnacle
46768,Badlands
45872,Throne of the Four Winds
45872,Conclave of Wind
45872,
45872,
45872,
47226,Twilight Highlands
46953,Swamp of Sorrows
43735,The Bastion of Twilight
43875,The Vortex Pinnacle
44011,Twilight Highlands
40229,Mount Hyjal
45871,Throne of the Four Winds
45871,Conclave of Wind
42465,Deepholm
39705,Blackrock Caverns
48768,Winterspring
44945,Deepholm
47728,Twilight Highlands
43686,The Bastion of Twilight
49956,Deepholm
39844,Mount Hyjal
40792,Throne of the Tides
40998,Mount Hyjal
45755,Uldum
50250,Winterspring
45870,Throne of the Four Winds
45870,Conclave of Wind
45870,
45870,
45870,
46329,Twilight Highlands
52107,Molten Front
44819,Lost City of the Tol vir
40709,Mount Hyjal
52165,Northern Barrens
46997,Swamp of Sorrows
43687,The Bastion of Twilight
41501,Mount Hyjal
43688,The Bastion of Twilight
