ID,Levels,Level Range,Classification,Type,Patch,Health
40484,"34, 43",True,Elite,Aberration,4.0.1,"2,904,790"
44566,??,False,Elite,Aberration,4.0.3,"959,725"
55308,??,False,Elite,Aberration,4.3.0,"256,205,134"
55312,??,False,Elite,Aberration,4.3.0,"256,182,540"
40788,"36, 72",True,Elite,Aberration,4.0.3,"1,244,910"
50050,35,False,Rare,Aberration,4.0.3,"4,281"
40765,"34, 72",True,Elite,Aberration,4.0.3,"4,149,700"
41440,38,False,Normal,Aberration,4.0.3,"2578,310"
48322,"22, 55",True,Elite,Aberration,4.0.1,"6,771"
42172,35,False,Elite,Aberration,4.0.3,"198,900"
49811,38,False,Elite,Aberration,4.0.3,"25665,888"
34485,"27, 30",True,Elite,Aberration,4.0.3,"6,705"
43622,??,False,Elite,Aberration,4.0.3,"25460,080"
50319,"30, 59",True,Normal,Aberration,4.0.3,"1,222"
50051,35,False,Rare,Beast,4.0.3,"57,080"
54320,37,False,Rare,Beast,4.2.0,"15,270"
50138,35,False,Rare,Beast,4.0.3,"4,281"
50058,35,False,Rare,Beast,4.0.3,"8,562"
54319,37,False,Rare,Beast,4.2.0,"9,162"
50005,35,False,Rare,Beast,4.0.3,"4,281"
54318,37,False,Rare,Beast,4.2.0,"9,162"
50159,35,False,Rare,Beast,4.0.3,"4,281"
50815,37,False,Rare,Beast,4.2.0,"4,581"
43296,??,False,Elite,Beast,4.0.3,"254,664,160"
49822,35,False,Rare,Beast,4.0.3,"4,281"
40728,??,False,Elite,Beast,4.0.3,"356,750"
41570,??,False,Elite,Beast,4.0.3,"254,415,450"
52498,??,False,Elite,Beast,4.2.0,"259,909,476"
41166,"19, 61",True,Normal,Beast,4.0.3,"4,070"
50959,37,False,Rare,Beast,4.2.0,"4,581"
46910,"35, 46",True,Normal,Beast,4.0.3,"2,854"
51661,"19, 54",True,Rare,Beast,4.0.6,"1,343"
52795,35,False,Normal,Beast,4.2.0,"2,854"
47676,"30, 35",True,Normal,Beast,4.0.1,"2,854"
43438,"35, 50",True,Elite,Beast,4.0.1,"2,904,790"
39348,35,False,Elite,Beast,4.0.3,"106,581"
47687,"20, 55",True,Normal,Beast,4.0.1,"3,793"
42181,??,False,Elite,Beast,4.0.3,"228,320"
51663,"21, 40",True,Rare,Beast,4.0.6,"1,691"
50060,35,False,Rare,Beast,4.0.3,"4,281"
47115,35,False,Normal,Beast,4.0.1,"2,854"
38346,"20, 59",True,Elite,Beast,4.0.3,"18,315"
34982,30,False,Normal,Beast,4.0.3,"2,035"
41084,"35, 36",True,Normal,Beast,4.0.3,"5,708"
45450,"20, 55",True,Normal,Beast,4.0.3,"4,576"
45380,"19, 58",True,Rare,Beast,4.0.1,949
54533,30,False,Rare,Beast,4.3.0,"101,750"
47389,"30, 59",True,Normal,Beast,4.0.1,"4,070"
32997,"20, 30",True,Normal,Beast,4.0.1,411
54323,37,False,Rare,Beast,4.2.0,"39,397"
42215,35,False,Elite,Beast,4.0.3,"228,320"
42336,"30, 51",True,Normal,Beast,4.0.3,"2,035"
52414,36,False,Elite,Beast,4.1.0,"59,060"
45582,"10, 59",True,Normal,Beast,4.0.1,"1,433"
47544,35,False,Normal,Beast,4.0.3,"5,708"
51402,35,False,Rare,Beast,4.0.3,"4,281"
52442,36,False,Elite,Beast,4.1.0,"59,060"
54338,37,False,Rare,Beast,4.2.0,"12,216"
47801,35,False,Normal,Beast,4.0.1,"2,854"
47387,"30, 59",True,Rare,Beast,4.0.1,"3,053"
51671,35,False,Normal,Beast,4.0.6,"2,854"
54321,37,False,Rare,Beast,4.2.0,"39,397"
47202,35,False,Normal,Beast,4.0.1,"2,854"
47053,"20, 30",True,Normal,Beast,4.0.3,"4,070"
54324,37,False,Rare,Beast,4.2.0,"15,270"
51662,"16, 41",True,Rare,Beast,4.0.6,"4,070"
37088,"19, 30",True,Normal,Beast,4.0.3,701
48451,"15, 35",True,Normal,Beast,4.0.3,"14,270"
43050,"18, 50",True,Normal,Beast,4.0.1,"2,035"
47386,"30, 45",True,Rare,Beast,4.0.1,"3,053"
55715,"60, 70",True,Normal,Beast,4.3.0,"112,919"
33497,"14, 58",True,Elite,Beast,4.0.1,"5,911"
36094,"20, 59",True,Elite,Beast,4.0.3,"1,958"
33053,"13, 30",True,Normal,Beast,4.0.3,453
50044,"30, 59",True,Normal,Beast,4.0.3,"4,070"
50065,35,False,Rare,Beast,4.0.3,"5,708"
52146,"18, 59",True,Rare,Beast,4.1.0,"2,062"
42108,35,False,Normal,Beast,4.0.3,"2,854"
39964,"33, 35",True,Normal,Beast,4.0.3,"5,708"
40427,35,False,Normal,Beast,4.0.3,"2,854"
48455,"20, 48",True,Normal,Beast,4.0.1,"1,237"
44473,"17, 58",True,Normal,Beast,4.0.3,"1,250"
36696,"2, 30",True,Normal,Beast,4.0.1,76
50313,30,False,Normal,Beast,4.0.3,"1,526"
52418,36,False,Elite,Beast,4.1.0,"59,060"
43704,"10, 55",True,Normal,Beast,4.0.1,"1,343"
47278,"15, 59",True,Normal,Beast,4.0.3,"1,237"
41646,35,False,Normal,Beast,4.0.3,"2,854"
37207,"10, 59",True,Normal,Beast,4.0.3,"2,075"
45321,"30, 47",True,Normal,Beast,4.0.1,"2,854"
38187,"10, 14",True,Normal,Beast,4.0.1,174
37208,"17, 59",True,Normal,Beast,4.0.3,"2,035"
39700,"35, 38",True,Elite,Beast,4.0.3,"4,149,700"
51961,30,False,Normal,Beast,4.1.0,"2,035"
52981,35,False,Normal,Beast,4.2.0,"2,141"
33311,"15, 30",True,Normal,Beast,4.0.1,"2,035"
37090,"10, 59",True,Normal,Beast,4.0.1,"2,198"
47204,"10, 54",True,Normal,Beast,4.0.1,"1,989"
47680,1,False,Normal,Beast,4.0.3,27
51674,"30, 35",True,Normal,Beast,4.0.6,"2,854"
37206,"10, 59",True,Normal,Beast,4.0.3,664
42859,"1, 59",True,Normal,Beast,4.0.1,"2,035"
44257,35,False,Normal,Beast,4.0.1,"3,150"
39186,30,False,Rare,Beast,4.0.3,"3,053"
40340,"35, 39",True,Elite,Beast,4.0.3,"33,887"
52345,35,False,Elite,Beast,4.1.0,"17,124"
37559,"18, 54",True,Normal,Beast,4.0.3,"1,237"
42337,"30, 42",True,Normal,Beast,4.0.3,"2,035"
48184,"22, 53",True,Normal,Beast,4.0.1,"1,285"
44482,"19, 57",True,Normal,Beast,4.0.3,"1,380"
39185,30,False,Rare,Beast,4.0.3,"3,053"
41561,"12, 16",True,Normal,Beast,4.0.1,174
35096,"6, 56",True,Normal,Beast,4.0.1,"1,572"
40466,35,False,Normal,Beast,4.0.3,"5,708"
44188,"9, 60",True,Normal,Beast,4.0.1,"1,785"
46508,"30, 35",True,Normal,Beast,4.0.1,"2,854"
34829,"17, 58",True,Normal,Beast,4.0.3,"4,070"
47726,35,False,Normal,Beast,4.0.1,"1,427"
48239,35,False,Normal,Beast,4.0.1,"2,854"
44476,"18, 59",True,Normal,Beast,4.0.1,"1,833"
