ID,Locations
68036,Throne of Thunder
69017,Throne of Thunder
72276,Siege of Orgrimmar
64403,Vale of Eternal Blossoms
73167,Timeless Isle
60410,Mogu shan Vaults
69161,Isle of Giants
69099,Isle of Thunder
51052,Swamp of Sorrows and Uldir
50990,Nagrand
71529,Siege of Orgrimmar
62346,Valley of the Four Winds
57237,The Jade Forest
50992,Frostfire Ridge
69946,The Jade Forest
59533,Valley of the Four Winds
50883,Shadowmoon Valley
50839,"Searing Gorge, Burning Steppes, and Blackrock Mountain"
51015,Talador
69712,Throne of Thunder
69947,Valley of the Four Winds
69943,Kun Lai Summit
68476,Throne of Thunder
65090,Nazjatar
69998,Isle of Thunder
50842,Burning Steppes
73166,Timeless Isle
58336,Darkmoon Island
50357,Burning Steppes
50960,Dread Wastes
58456,Vale of Eternal Blossoms
50981,Nagrand
64965,Vale of Eternal Blossoms
71992,Darkmoon Island
58768,Vale of Eternal Blossoms
50843,Vale of Eternal Blossoms and Shrine of the Storm
50343,Stonetalon Mountains
63920,Townlong Steppes
51077,Elwynn Forest
69795,Isle of Thunder
62442,Terrace of Endless Spring
50819,Winterspring
50813,Eastern Plaguelands
50837,Swamp of Sorrows
50737,Silithus
72876,Timeless Isle
50833,Felwood
50908,Tirisfal Glades
56754,Shado Pan Monastery
50818,Hillsbrad Foothills
50348,Winterspring
73531,Timeless Isle
55874,The Wandering Isle
50995,Winterspring
73279,Timeless Isle
50803,Tirisfal Glades
16874,Winterspring
73161,Timeless Isle
64638,Kun Lai Summit
59536,Valley of the Four Winds
50993,Winterspring
72805,Timeless Isle
71953,Timeless Isle
66467,Townlong Steppes
50958,Vale of Eternal Blossoms
72049,Timeless Isle
56329,The Jade Forest
73160,Timeless Isle
50346,Winterspring
50997,Winterspring
51040,Arathi Highlands
50784,Dustwallow Marsh
69396,Isle of Thunder
50856,Eastern Plaguelands
67977,Throne of Thunder
50353,Winterspring
50947,Eastern Plaguelands
50922,Western Plaguelands
55236,The Jade Forest
70008,Isle of Giants
71921,Siege of Orgrimmar
51027,Eastern Plaguelands
58474,Vale of Eternal Blossoms
16872,The Hinterlands
50915,Eastern Plaguelands
61848,Kun Lai Summit
50809,Western Plaguelands
50874,Stonetalon Mountains
50792,Burning Steppes
72765,Timeless Isle
72777,Timeless Isle
72193,Timeless Isle
72808,Timeless Isle
51045,Winterspring
72775,Timeless Isle
51044,Tirisfal Glades
63510,Vale of Eternal Blossoms
51067,Arathi Highlands
73158,Timeless Isle
50328,Deathknell
68220,Throne of Thunder
66622,The Jade Forest
51048,Searing Gorge
73163,Timeless Isle
50370,Silithus
68491,Darkmoon Island
51042,Eastern Plaguelands
63895,Townlong Steppes
60131,Kun Lai Summit
69177,Throne of Thunder
58432,Valley of the Four Winds
70020,Isle of Giants
51022,Hillsbrad Foothills
69339,Isle of Thunder
50916,Elwynn Forest
59535,Valley of the Four Winds
51031,Western Plaguelands
60047,Mogu shan Vaults
72045,Timeless Isle
64717,Dread Wastes
56256,Valley of the Four Winds
56877,Gate of the Setting Sun
50882,Swamp of Sorrows
64514,Kun Lai Summit
50846,Searing Gorge
71955,Timeless Isle
50825,Stonetalon Mountains
50949,Silverpine Forest
50903,Swamp of Sorrows
50945,Dustwallow Marsh
70005,Isle of Giants
50855,Burning Steppes
58218,The Jade Forest
66184,Dread Wastes and Townlong Steppes
50946,Searing Gorge
51061,Dustwallow Marsh
63538,The Jade Forest
66164,Kun Lai Summit
63007,Dread Wastes
51037,Silverpine Forest
59772,The Jade Forest
51014,Elwynn Forest and Duskwood
50895,Stonetalon Mountains
71952,Timeless Isle
50948,Searing Gorge
68081,Throne of Thunder
50925,Felwood
50930,Tirisfal Glades
51004,Silithus
