ID,Name
68036,Durumu the Forgotten
69017,Primordius
72276,Amalgam of Corruption
64403,Alani
73167,Huolon
60410,Elegon
69161,Oondasta
69099,Nalak
51052,Gib the Banana-Hoarder
50990,Nakk the Thunderer
71529,Thok the Bloodthirsty
62346,Galleon
57237,Bookworm
50992,Gorok
69946,Hutia
59533,Lost Dog
50883,Pathrunner
50839,Chromehound
51015,Silthide
69712,Ji-Kun
69947,Degu
69943,Gumi
68476,Horridon
65090,Fabious
69998,Goda
50842,Magmagan
73166,Monstrous Spineclaw
58336,Darkmoon Rabbit
50357,Sunwing
50960,Hexapos
58456,Thundermaw
50981,Luk'hok
64965,Milau
71992,Moonfang
58768,Cracklefang
50843,Portent
50343,Quall
63920,Hei Feng
51077,Bushtail
69795,Zandalari Battlebeast
62442,Tsulong
50819,Iceclaw
50813,Fene-mal
50837,Kash
50737,Acroniss
72876,Crimsonscale Firestorm
50833,Duskcoat
50908,Nighthowl
56754,Azure Serpent
50818,The Dark Prowler
50348,Norissis
73531,Highwind Albatross
55874,Zhao-Ren
50995,Bruiser
73279,Evermaw
50803,Bonechewer
16874,Snowblind
73161,Great Turtle Furyshell
64638,Gurubashi Riding Raptor
59536,Dog
50993,Gal'dorak
72805,Primal Stalker
71953,Xuen
66467,G'nathus
50958,Kalan'ii
72049,Cranegnasher
56329,Kher Shan
73160,Ironfur Steelhorn
50346,Ronak
50997,Bornak the Gorer
51040,Snuffles
50784,Anith
69396,Cera
50856,Snark
67977,Tortos
50353,Manas
50947,Varah
50922,Warg
55236,Jade Guardian
70008,Primal Devilsaur
71921,Darkfang
51027,Spirocula
58474,Bloodtip
16872,Jetwing
50915,Snort
61848,Wild Onyx Serpent
50809,Heress
50874,Tenok
50792,Chiaa
72765,Elder Great Turtle
72777,Gulp Frog
72193,Karkanos
72808,Tsavo'ka
51045,Arcanus
72775,Bufo
51044,Plague
63510,Wulon
51067,Glint
73158,Emerald Gander
50328,Fangor
68220,Gastropod
66622,Rakira
51048,Rexxus
73163,Imperial Python
50370,Karapax
68491,Darkmoon Strider
51042,Bleakheart
63895,Shan'ze Cloudrider
60131,Spirit Worg
69177,Amani Warbear
58432,Gorge Stalker
70020,Pterrorwing Skyscreamer
51022,Chordix
69339,Electromancer Ju'le
50916,Lamepaw the Whimperer
59535,Lost Dog
51031,Tracker
60047,Amethyst Guardian
72045,Chelon
64717,Dread Kunchong
56256,Wyrmhorn Turtle
56877,Raigonn
50882,Chupacabros
64514,Grand Expedition Yak
50846,Slavermaw
71955,Yu'lon
50825,Feras
50949,Finn's Gambit
50903,Orlix the Swamplord
50945,Scruff
70005,Young Primal Devilsaur
50855,Jaxx the Rabid
58218,Saltback Turtle
66184,Dread Stalker
50946,Hogzilla
51061,Roth-Salam
63538,Windward Huntress
66164,Zouchin Tiger
63007,Kyparite
51037,Lost Gilnean Wardog
59772,Smoky Porcupine
51014,Terrapis
50895,Volux
71952,Chi-Ji
50948,Crystalback
68081,Dam'ren
50925,Grovepaw
50930,Hibernus the Sleeper
51004,Toxx
70212,Flaming Head
71954,Niuzao
50362,Blackbog the Fang
51000,Blackshell the Impenetrable
50858,Dustwing
51017,Gezan
64745,Lowland Porcupine
50931,Mange
69562,Nalak
50875,Nychus
70494,Pterrorwing
58455,Stillwater Crocolisk
59742,Thunderfist Gorilla
63537,Windward Tiger
71923,Bloodclaw
50807,Catal
50986,Goldenback
69218,Kroshik
65229,Kypa'rak
50865,Saurix
66668,Sha-Infested Prowler
70136,Shrimp Stuffed Shark
69993,Young Primal Devilsaur
55786,Zhao-Ren
50725,Azelisk
50952,Barnacle Jim
50337,Cackle
70493,Direhorn
50926,Grizzled Ben
72909,Gu'chi the Swarmbringer
56703,Ik'thik Colossus
50777,Needle
50361,Ornat
50786,Sparkwing
59534,Summit Prowler
50797,Yukiko
67820,Bombyx
50897,Ffexk the Dunestalker
72452,Kor'kron Dire Wolf
50743,Manax
50765,Miasmiss
59754,Mottled Caterpillar
62448,Onyx Stormclaw
69773,Scarab
50942,Snoot the Rooter
72762,Brilliant Windfeather
62023,Coldbite Crocolisk
50342,Heronis
63765,Kovok
56833,Krosh
51029,Parasitus
50329,Rrakk
66633,Ruukti
50940,Swee
50730,Venomspine
62309,Hei Feng
50790,Ionis
64724,Karanosh
69306,Loa-Infused Bladetalon
51076,Lopex
69991,Primal Devilsaur
69992,Primal Direhorn Hatchling
50804,Ripwing
50752,Tarantis
58921,Thunder
51058,Aphis
63728,Ik'thik Amberstinger
65231,Kypari Crawler
50929,Little Bjorn
58453,Mottled Cow
50864,Thicket
50891,Boros
62767,Gokk'lok
58070,Krasari Huntress
63978,Kri'chon
50742,Qem
68079,Ro'shak
51069,Scintillex
54988,Waxwood Hunter
64554,Zhao-Ren
51018,Zormus
72807,Crag Stalker
59602,Luna
60202,Mortbreath Skulker
68080,Quet'zal
66617,Ro'shen
70004,Young Primal Devilsaur
66772,Beast of Jade
50892,Cyn
69349,Dark-Eye Raven
64321,Echoweb Spinner
51046,Fidonis
72095,Fishgorged Crane
51026,Gnath
65802,Krasari Hissing Wasp
66587,Pengsong
50788,Quetzl
66755,Shrouded Cetacean
50785,Skyshadow
50838,Tabbs
69180,Tamed Bladetalon
51028,The Deep Tunneler
65559,Vision of Zhao-Ren
60051,Cobalt Guardian
72766,Ancient Spineclaw
50728,Deathstrike
67477,Defiant Devilsaur
50937,Hamhide
69128,Hatchling Skyscreamer
69907,Kroshik
58415,Mountain Yak
51063,Phalanax
65839,Razorquill Porcupine
50763,Shadowstalker
64309,Skyrange Mushan
51021,Vorticus
51057,Weevil
56752,Whitefisher Crane
60043,Jade Guardian
59756,Chibee
50967,Craw the Ravager
65204,Effervescent Glowfly
64359,Saltscale Carp
65552,Glinting Rapana Whelk
66466,Stone Cold Trixxy
62541,Sha of Hatred
66442,Zoltan
70075,Pit Lord
72249,Galakras
59788,Spirit Darter
63546,Zidormi
64616,Wrathion
73691,Chromie
71533,Andrestrasz
72870,Kairoz
71924,Wrathion
60491,Sha of Anger
73282,Garnia
60999,Sha of Fear
71543,Immerseus
68465,Thundering Pandaren Spirit
68464,Whispering Pandaren Spirit
68463,Burning Pandaren Spirit
71864,Spelurk
72970,Golganarr
62983,Lei Shi
68462,Flowing Pandaren Spirit
62596,Ancient Haunt
69471,Spirit of Warlord Teng
71734,Sha of Pride
73175,Cinderfall
72769,Spirit of Jadefire
72280,Manifestation of Pride
72245,Zesqua
59651,Sha of Despair
72767,Jademist Dancer
69767,Ancient Mogu Guardian
56439,Sha of Doubt
59479,Yan-Zhu the Uncasked
73157,Rock Moss
56719,Sha of Violence
72809,Eroded Cliffdweller
69336,Guardian Tak'u
71919,Zhu-Gon the Sour
58771,Quid
72888,Molten Guardian
70153,Fungal Growth
68228,Echo of Hatred
73162,Foreboding Flame
66900,Huggalon the Heart Watcher
65435,Dread Ambercrusher
64518,Uncle Bigpocket
56777,Ni Gentlepaw
63721,Nat Pagle
59369,Doctor Theolen Krastinov
71865,Garrosh Hellscream
63596,Audrey Burnhep
64922,Brann Bronzebeard
59908,Jaluu the Generous
70398,Ben of the Booming Voice
63626,Varzok
50985,Poundfist
64595,Rushi the Fox
58414,San Redscale
70270,Jubeka Shadowbreaker
55143,Sally Fizzlefury
69925,Zandalari Dinomancer
61650,Big Keech
59200,Lilian Voss
65186,Poisoncrafter Kil'zit
69769,Zandalari Warbringer
50739,Gar'lok
64599,Ambersmith Zikk
64032,Sage Whiteheart
57405,Silkmaster Tsai
50333,Lon the Bull
71304,Iris Moondreamer
70003,Molthor
69664,Mumta
70271,Kanrethad Ebonlocke
65098,Mai the Jade Shaper
64606,Commander Oxheart
65127,Lai the Spellpaw
64231,Sungshin Ironpaw
57620,Whittler Dewei
62996,Madam Vee Luo
66022,Turtlemaster Odai
63327,Shoyu
58843,"""Dragonwing"" Dan"
58632,Armsmaster Harlan
72057,Ordos
65927,Chut Sri Nu
73151,Deathguard Netharian
69971,Xazi Smolderpipe
65121,Clean Pelt
66242,Little Tib
70346,Ao Pye
69768,Zandalari Warscout
69473,Ra-den
64318,Janae
69060,Tuskripper Grukna
68397,Lei Shen
65092,Smeltmaster Ashpaw
69059,Agent Malley
68143,Squad Leader Bosh
64605,Tan Shin Tiao
65068,Old Whitenose
69997,Progenitus
55103,Galissa Sundew
58706,Gina Mudclaw
69842,Zandalari Warbringer
56133,Chen Stormstout
58564,Elder Anli
70360,Vereesa Windrunner
73082,Master Li
56065,Inkmaster Wei
68363,Quackenbush
50821,Ai-Li Skymirror
65114,Len the Hammer
70002,Lu-Ban
66685,Danky
73190,Necrolord Sipe
64607,Commander Lo Ping
70000,Al'tabim the All-Seeing
73306,Mistweaver Ku
64395,Nam Ironpaw
61962,Lorewalker Cho
62822,Cousin Slowhands
67370,Jeremy Feasel
66126,Zunta
54870,General Nazgrim
69461,Itoka
69996,Ku'lai the Skyclaw
69999,God-Hulk Ramuk
66675,Major Payne
66678,Krystel
70001,Backbreaker Uru
69975,Captain Dirgehammer
50347,Karr the Darkener
66741,Aki the Chosen
50356,Krol the Blade
69841,Zandalari Warbringer
68364,Paul North
64001,Sage Lotusbloom
70096,War-God Dokah
64330,Julia Stevens
70530,Ra'sha
67672,Vasarin Redmorn
50341,Borginn Darkfist
63994,Challenger Wuli
70414,Skumblade Pillager
64566,Sunwalker Dezco
60143,Gara'jal the Spiritbinder
60400,Jan-xi
50831,Scritch
66936,Clawlord Kril'mandar
66738,Courageous Yon
66980,Grower Miao
50355,Kah'tir
64610,Lyalia
50332,Korda Torros
69978,Sergeant Thunderhorn
63009,Master Snowdrift
50830,Spriggin
71859,Earthbreaker Haromm
72007,Master Kukuru
66824,Obalis
67025,Orchard Keeper Li Mei
69973,Zom Bocom
67881,Proveditor Grantley
66730,Hyuna of the Shrines
50789,Nessos the Oracle
62980,Imperial Vizier Zor'lok
62445,Ji Firepaw
70358,Scout Captain Elsia
62837,Grand Empress Shek'zeer
68078,Iron Qon
66822,Goz Banefury
58761,Tina Mudclaw
66815,Bordin Steadyfist
73169,Jakur of Ordon
66359,Master Tan
64515,Mystic Birdhat
70535,Teng of the Flying Daggers
67662,High Arcanist Savor
50836,Ik-Ik the Nimble
65043,Elder Oakpaw
63086,Matty
64052,Raishen the Needle
50336,Yorik Sharpeye
69633,Kor'dok
50840,Major Nanners
66733,Mo'ruk
72898,High Priest of Ordos
63238,"Xi, Friend to the Small"
50817,Ahone the Wanderer
60399,Qin-xi
73171,Champion of the Black Flame
64272,Jade Warrior Statue
68321,Kar Warmaker
56138,Li Li
66636,Nearly Headless Jacob
56637,Ook-Ook
66734,Farmer Nishi
68000,Hiren Loresong
64124,Kata Arina
71930,Shademaster Kiryn
50339,Sulik'shor
16908,Arielle Snapflash
58705,Fish Fellreed
69318,Kylo Kelwin
62737,Supplier Xin
66352,Traitor Gluk
