ID,Locations
33288,Ulduar
32429,Grizzly Hills
29311,Ahn kahet The Old Kingdom
29311,
29311,
33983,Ulduar
28165,Halls of Stone
33136,Ulduar
33890,Ulduar
32517,Sholazar Basin and Uldir
35189,The Storm Peaks
38453,Grizzly Hills
33776,Zul Drak
32485,Sholazar Basin
32481,Sholazar Basin
32361,Borean Tundra
32475,Zul Drak and The Storm Peaks
32398,Howling Fjord
32400,Dragonblight
26482,Dragonblight
27483,Drak Tharon Keep
28297,Sholazar Basin
28097,Sholazar Basin
23690,Howling Fjord
27249,Dragonblight
29452,Zul Drak
29698,Zul Drak
25680,Borean Tundra
27329,Dragonblight
25489,Borean Tundra
25487,Borean Tundra
29444,Zul Drak
25488,Borean Tundra
24172,Howling Fjord
29033,Sholazar Basin
30952,Icecrown
28009,Sholazar Basin
28358,Sholazar Basin
25355,Borean Tundra
25362,Borean Tundra
28213,Sholazar Basin
24673,Howling Fjord
26322,Dragonblight
26281,Dragonblight
25791,Borean Tundra
28921,Azjol Nerub
25721,Borean Tundra
28404,Zul Drak
29334,Zul Drak
29319,Zul Drak and The Storm Peaks
23958,Howling Fjord
24516,Howling Fjord
30206,Icecrown
24547,Howling Fjord
26824,Drak Tharon Keep
26272,Dragonblight
23691,Howling Fjord
32163,Icecrown
26472,Grizzly Hills
29479,Howling Fjord
29034,Sholazar Basin
25711,Borean Tundra
29487,Howling Fjord
24614,Borean Tundra
24514,Howling Fjord
23945,Howling Fjord
24863,Howling Fjord
24681,Howling Fjord
26360,Dragonblight
28477,Zul Drak
29018,Sholazar Basin
28003,Sholazar Basin
35610,Trial of the Crusader
26628,Drak Tharon Keep
24787,Howling Fjord
29402,The Storm Peaks
30448,The Storm Peaks
31233,Crystalsong Forest
29412,The Storm Peaks
26625,Drak Tharon Keep
30279,Ahn kahet The Old Kingdom
28221,Zul Drak
25454,Borean Tundra
25204,Borean Tundra
28129,Sholazar Basin
29605,The Storm Peaks
34799,Trial of the Crusader
28851,Zul Drak
28288,Sholazar Basin
28098,Sholazar Basin
28379,Sholazar Basin
29996,The Storm Peaks
26644,Grizzly Hills
24026,Howling Fjord
29044,Sholazar Basin
27131,Grizzly Hills
26369,Grizzly Hills
30422,The Storm Peaks
25498,Borean Tundra
29411,The Storm Peaks
23959,Howling Fjord
26838,Dragonblight
34035,Ulduar
30445,The Storm Peaks
33711,Ghostlands
26643,Dragonblight
24791,Howling Fjord
34034,Ulduar
24128,Howling Fjord
29312,The Violet Hold
31404,Crystalsong Forest
32751,Dalaran and Dalaran
24475,Howling Fjord
26622,Drak Tharon Keep
28011,Sholazar Basin
25750,Borean Tundra
24786,Howling Fjord
29735,Utgarde Keep
32664,Dalaran
29693,Grizzly Hills
26174,Borean Tundra
28001,Sholazar Basin
29857,The Storm Peaks
29469,The Storm Peaks
29562,The Storm Peaks
25862,Borean Tundra
26730,The Nexus
25881,Borean Tundra
31747,Icecrown
25295,Borean Tundra
24633,Howling Fjord
25482,Borean Tundra
24677,Howling Fjord
25743,Borean Tundra
28233,Zul Drak
29838,Gundrak
29630,Gundrak
23740,Howling Fjord and Grizzly Hills
30455,The Storm Peaks
31636,Northern Stranglethorn
25812,Borean Tundra
34925,Hrothgar s Landing
28325,Sholazar Basin
30447,The Storm Peaks
30095,Dalaran
32498,Icecrown and Isle of Conquest
24270,Howling Fjord
25677,Borean Tundra
28440,Borean Tundra
30094,Dalaran
25679,Borean Tundra
24746,Howling Fjord
26503,Howling Fjord
28407,Howling Fjord
28093,Sholazar Basin
31685,Borean Tundra
29328,"Borean Tundra, Dragonblight, Tiragarde Sound, The Storm Peaks, and Zul Drak"
31889,Azsuna and Stormheim
31890,"Stonetalon Mountains, Grizzly Hills, Stormheim, Wetlands, Winterspring, Howling Fjord, and The Storm Peaks"
28202,Zul Drak
28371,Sholazar Basin
32258,"Badlands, Halls of Stone, and Halls of Lightning"
