ID,Name
32429,Seething Hate
29311,Herald Volazj
33983,Constrictor Tentacle
28165,Iron Sludge
33136,Guardian of Yogg-Saron
33890,Brain of Yogg-Saron
32517,Loque'nahak
35189,Skoll
38453,Arcturis
33776,Gondria
32485,King Krush
32481,Aotona
32361,Icehorn
32475,Terror Spinner
32398,King Ping
32400,Tukemuth
26482,Arctic Grizzly
27483,King Dred
28297,Shango
28097,Pitch
23690,Shoveltusk
27249,Alystros the Verdant Keeper
29452,Vargul Blighthound
29698,Drakuru Raptor
25680,Marsh Caribou
27329,Onslaught Bloodhound
25489,Wooly Rhino Bull
25487,Wooly Rhino Matriarch
29444,Drakkari Snake
25488,Wooly Rhino Calf
24172,Daggercap Hawk
29033,Spirit of Atha
30952,Hungering Plaguehound
28009,Shardhorn Rhino
28358,Venomtip
25355,Beryl Hound
25362,Warsong Swine
28213,Hardknuckle Matriarch
24673,Frostwing Chimaera
26322,Arcane Wyrm
26281,Moonrest Stalker
25791,Oil-stained Wolf
28921,Hadronox
25721,Arcane Serpent
28404,Cursed Offspring of Har'koa
29334,Gundrak Raptor
29319,Icepaw Bear
23958,Riven Widow
24516,Bjomolf
30206,Carrion Fleshstripper
24547,Hozzer
26824,Drakkari Raptor Mount
26272,Emaciated Mammoth
23691,Shoveltusk Stag
32163,Grimkor's Hound
26472,Highland Mustang
29479,Shoveltusk Forager
29034,Spirit of Koosu
25711,Spirit of the North
29487,Wild Shoveltusk
24614,Wooly Mammoth
24514,Steelfeather
23945,Fjord Crow
24863,Frosthorn Kid
24681,Island Shoveltusk
26360,Rattlebore
28477,Scion of Quetz'lun
29018,Spirit of Ha-Khalan
28003,Bittertide Hydra
35610,Cat
26628,Drakkari Scytheclaw
24787,Fjord Hawk Matriarch
29402,Ironwool Mammoth
30448,Plains Mammoth
31233,Sinewy Wolf
29412,Crystalweb Spitter
26625,Darkweb Recluse
30279,Deep Crawler
28221,Trapdoor Crawler
25454,Tundra Crawler
25204,Glimmer Bay Orca
28129,Longneck Grazer
29605,Ravenous Jormungar
34799,Dreadscale
28851,Enraged Mammoth
28288,Farunn
28098,Hardknuckle Forager
28379,Shattertusk Mammoth
29996,Snorts
26644,Ursus Mauler
24026,Fanggore Worg
29044,Goretalon Matriarch
27131,Grizzly Bear
26369,Imperial Eagle
30422,Roaming Jormungar
25498,Aspatha the Broodmother
29411,Crystalweb Weaver
23959,Darkclaw Bat
26838,Dreadtalon
34035,Feral Defender
30445,Ice Steppe Bull
33711,Plagued Snapper
26643,Rabid Grizzly
24791,Shoveltusk Calf
34034,Swarming Guardian
24128,Wild Worg
29312,Lavanthor
31404,Azure Manabeast
32751,Backbiter
24475,Bloodthirsty Worg
26622,Drakkari Bat
28011,Emperor Cobra
25750,Oil-soaked Caribou
24786,Reef Bull
29735,Savage Worg
32664,Segacedi
29693,Serpent Defender
26174,Carrion Condor
28001,Dreadsaber
29857,Frostbite
29469,Ice Steppe Rhino
29562,Icemaw Bear
25862,Khu'nok the Behemoth
26730,Mage Slayer
25881,Moria
31747,Necrotic Webspinner
25295,Nerub'ar Swarmer
24633,Rabid Brown Bear
25482,Sand Turtle
24677,Spearfang Worg
25743,Wooly Mammoth Bull
28233,Zul'Drak Bat
29838,Drakkari Rhino
29630,Fanged Pit Viper
23740,Frosthorn Ram
30455,Frostworg
31636,Jungle Panther
25812,Killinger the Den Watcher
34925,North Sea Kraken
28325,Ravenous Mangal Crocolisk
30447,Romping Rhino
30095,Dalaran Sewer Turtle
32498,Glacier Penguin
24270,Devouring Maggot
25677,Borean Frog
28440,Tundra Penguin
30094,Dalaran Sewer Rat
25679,Steam Frog
24746,Fjord Turkey
26503,Scalawag Frog
28407,Fjord Penguin
28093,Sholazar Tickbird
31685,Borean Marmot
29328,Arctic Hare
31889,Grizzly Squirrel
31890,Mountain Skunk
28202,Zul'Drak Rat
28371,Sparkling Hare
32258,Gold Beetle
32781,Noblegarden Rabbit
28372,Glinting Bug
32428,Underbelly Rat
34606,Frost Sphere
34780,Lord Jaraxxus
26533,Mal'Ganis
29314,Zuramat the Obliterator
32260,Enslaved Minion
34826,Mistress of Pain
32491,Time-Lost Proto-Drake
32630,Vyragosa
28859,Malygos
28860,Sartharion
36789,Valithria Dreamwalker
39863,Halion
33186,Razorscale
32273,Infinite Corruptor
27990,Krasus
30449,Vesperon
26723,Keristrasza
26917,Alexstrasza the Life-Binder
32533,Cielstrasza
27654,Drakos the Interrogator
29590,Blighted Proto-Drake
28378,Primordial Drake
26206,Keristrasza
27656,Ley-Guardian Eregos
31134,Cyanigosa
26117,Raelorasz
39747,Saviana Ragefire
27856,Chromie
26443,Tariolstrasz
30275,Wild Wyrm
26532,Chrono-Lord Epoch
27636,Azure Ley-Whelp
27506,Ceristrasz
26949,Torastrasza
39751,Baltharus the Warborn
27658,Belgaristrasz
29625,Hyldsmeet Proto-Drake
27940,Lethecus
23688,Proto-Whelp
26983,Aurastrasza
31265,Savage Proto-Drake
30451,Shadron
27657,Verdisa
39746,General Zarithrian
30272,Njorndar Proto-Drake
27756,Ruby Drake
27530,Ruby Keeper
40429,Sanctum Guardian Xerestrasza
24795,Surristrasz
32357,Old Crystalbark
32447,Zul'Drak Sentinel
33289,Lord Everblaze
29313,Ichoron
25416,Simmer
33768,Rubble
30877,Water Revenant
25418,Churn
30875,Tempest Revenant
28092,The Etymidian
26763,Anomalus
26782,Crystalline Keeper
30633,Water Terror
32915,Elder Brightleaf
33524,Saronite Animus
27382,Deathbringer Revenant
29036,Servant of Freya
28585,Slag
30873,Flame Revenant
25376,Imperean
25417,Raging Boiler
33488,Saronite Vapors
24601,Steam Rager
29624,Stormrider
32913,Elder Ironbranch
27254,Emerald Lasher
30258,Amanitar
33431,Forest Swarmer
34190,Hardened Iron Golem
23876,Spore
34135,Winter Rumbler
33838,Enslaved Fire Elemental
25715,Frozen Elemental
31228,Grove Walker
24229,Howling Cyclone
24316,Iron Rune Sentinel
30184,Scion of Storm
32487,Putridus the Ancient
32422,Grocklar
33515,Auriaya
33118,Ignis the Furnace Master
33993,Emalon the Storm Watcher
32867,Steelbreaker
31125,Archavon the Stone Watcher
32865,Thorim
28923,Loken
32930,Kologarn
38433,Toravon the Ice Watcher
32906,Freya
33686,Lore Keeper of Norgannon
32845,Hodir
35013,Koralon the Flame Watcher
27977,Krystallus
28587,Volkhan
30082,Creteus
29984,Iron Sentinel
32933,Left Arm
27975,Maiden of Grief
33241,Freya
29350,Torseg the Exiled
30341,Eisenfaust
30300,Iron Colossus
35364,Slahtz
35365,Behsten
28715,Endora Moorehead
30713,Catarina Stanford
30727,Lelorian
30223,Crusade Commander Entari
30723,Xantili
30729,Ickabod Pimlen
32216,Mei Francis
26194,Elder Ko'nani
33026,Sarah Brady
34885,Dame Evniki Kapsalis
28040,Mardan Thunderhoof
32417,Scarlet Highlord Daion
32538,Duchess Mynx
32409,Crazed Indu'le Survivor
32377,Perobas the Bloodthirster
32871,Algalon the Observer
31032,Derek Odds
32438,Syreian the Bonecarver
30630,Archdruid Lilliandra
29631,Awilo Lon'gomba
30431,Veteran Crusader Aliocha Segard
32386,Vigdis the War Maiden
31031,Misensi
32172,Harold Winston
33817,Justicar Mariel Trueheart
28697,Timofey Oshenko
26905,Brom Brewbaster
28705,Katherine Lee
26953,Thomas Kolichio
32763,Sairuk
28951,Breanni
32515,Braeg Stoutbeard
26989,Rollick MacKreel
30730,Stanly McCormick
