ID,Levels,Level Range,Classification,Type,Patch,Health
33288,??,False,Boss,Uncategorized,3.4.0,"2555,000,057"
32429,30,False,Rare,Aberration,3.0.2,"3,053"
29311,"18, 59",True,Elite,Aberration,3.0.1,"517,200"
33983,32,False,Elite,Aberration,3.1.0,"2548,488"
28165,31,False,Normal,Aberration,3.0.1,"2,105"
33136,32,False,Elite,Aberration,3.1.0,"25448,392"
33890,??,False,Elite,Aberration,3.1.0,"253,489,302"
32517,"20, 61",True,Rare,Beast,3.0.2,"3,053"
35189,30,False,Rare,Beast,3.2.0,"3,053"
38453,30,False,Rare,Beast,3.3.0,"3,053"
33776,30,False,Rare,Beast,3.1.0,"3,053"
32485,30,False,Rare,Beast,3.0.2,"8,140"
32481,"20, 30",True,Rare,Beast,3.0.2,"3,053"
32361,30,False,Rare,Beast,3.0.2,"3,053"
32475,30,False,Rare,Beast,3.0.2,"3,053"
32398,30,False,Rare,Beast,3.0.2,"3,053"
32400,"30, 65",True,Rare,Beast,3.0.2,"8,140"
26482,"20, 39",True,Normal,Beast,3.0.1,"2,035"
27483,"19, 52",True,Elite,Beast,3.0.1,"69,696"
28297,30,False,Normal,Beast,3.0.1,"2,035"
28097,30,False,Normal,Beast,3.0.1,"2,035"
23690,"15, 59",True,Normal,Beast,3.0.1,"2,257"
27249,30,False,Normal,Beast,3.0.1,"4,070"
29452,30,False,Normal,Beast,3.0.1,"2,035"
29698,30,False,Normal,Beast,3.0.1,"2,035"
25680,"10, 61",True,Normal,Beast,3.0.1,"2,035"
27329,30,False,Normal,Beast,3.0.1,"2,035"
25489,"10, 30",True,Normal,Beast,3.0.1,"2,035"
25487,"10, 30",True,Normal,Beast,3.0.1,"2,035"
29444,30,False,Normal,Beast,3.0.1,41
25488,"10, 30",True,Normal,Beast,3.0.1,"2,035"
24172,30,False,Normal,Beast,3.0.1,"2,035"
29033,30,False,Normal,Beast,3.0.1,"2,035"
30952,30,False,Normal,Beast,3.0.2,"2,035"
28009,"20, 69",True,Normal,Beast,3.0.1,"2,817"
28358,"20, 30",True,Normal,Beast,3.0.1,"4,070"
25355,"15, 60",True,Normal,Beast,3.0.1,"2,384"
25362,30,False,Normal,Beast,3.0.1,"1,604"
28213,30,False,Normal,Beast,3.0.1,"4,070"
24673,"17, 59",True,Normal,Beast,3.0.1,"2,308"
26322,"20, 45",True,Normal,Beast,3.0.1,"2,035"
26281,"30, 38",True,Normal,Beast,3.0.1,"2,035"
25791,"20, 58",True,Normal,Beast,3.0.1,"2,035"
28921,"19, 52",True,Elite,Beast,3.0.1,"69,696"
25721,"13, 36",True,Normal,Beast,3.0.1,"2,035"
28404,30,False,Normal,Beast,3.0.1,"2,035"
29334,30,False,Normal,Beast,3.0.1,"2,035"
